,locusTag,baseMean,log2FoldChange,lfcSE,pvalue,padj,abs_log2,name,symbol,chromosome,KO_anno,KO_desc
5,Bcen2424_3188,1642.958721,-4.81597752,0.512164628,2.36E-22,2.80E-19,4.81597752,SRPBCC family protein,,2,NA,no KO assigned 
47,Bcen2424_3187,1866.290065,-3.830305739,0.667124996,4.57E-10,5.76E-08,3.830305739,non-ribosomal peptide synthetase,,2,NA,no KO assigned 
54,Bcen2424_3182,2081.409938,-3.599973282,0.678512058,4.05E-09,4.43E-07,3.599973282,aspartate aminotransferase family protein,,2,NA,no KO assigned 
10,Bcen2424_3178,2243.808415,-3.528079609,0.406183137,1.67E-19,9.87E-17,3.528079609,hypothetical protein,,2,K20277,K20277 mannose-binding lectin 
61,Bcen2424_3183,1691.724961,-3.421702027,0.694054485,3.07E-08,2.98E-06,3.421702027,condensation protein,,2,NA,no KO assigned 
15,Bcen2424_3176,548.6442238,-3.37330786,0.426956129,1.27E-16,4.99E-14,3.37330786,fucose-binding lectin II,,2,K20277,K20277 mannose-binding lectin 
23,Bcen2424_3177,778.3814162,-3.255474568,0.457445406,4.94E-14,1.27E-11,3.255474568,fucose-binding lectin II,,2,K20277,K20277 mannose-binding lectin 
27,Bcen2424_2771,1006.413181,-3.238151685,0.483041677,8.73E-13,1.91E-10,3.238151685,acetoacetyl-CoA reductase,phbB,1,K00023,K00023 acetoacetyl-CoA reductase [EC:1.1.1.36] 
18,Bcen2424_3181,572.1342903,-3.175198708,0.419461885,1.66E-15,5.46E-13,3.175198708,AraC family transcriptional regulator,,2,NA,no KO assigned 
16,Bcen2424_1572,4918.889432,-3.063765841,0.395413211,4.35E-16,1.61E-13,3.063765841,curculin (mannose-binding) lectin,,1,NA,no KO assigned 
11,Bcen2424_2773,1747.083796,-3.038166854,0.352185907,1.89E-19,1.02E-16,3.038166854,TIGR01841 family phasin,phaP,1,NA,no KO assigned 
3,Bcen2424_5095,580.1780278,-3.036922425,0.294871735,4.57E-26,9.02E-23,3.036922425,glycosyltransferase,,2,K18101,K18101 rhamnosyltransferase subunit B [EC:2.4.1.-] 
