,locusTag,baseMean,log2FoldChange,lfcSE,pvalue,padj,abs_log2,name,symbol,chromosome,KO_anno,KO_desc
1,Bcen2424_1362,92.22888797,1.012525848,0.26947953,6.95E-06,0.041133672,1.012525848,hypothetical protein,,1,NA,no KO assigned 
2,Bcen2424_0492,444.5220906,-0.740773562,0.255545163,0.000114982,0.261701763,0.740773562,peptidase M1,,1,K01256,K01256 aminopeptidase N [EC:3.4.11.2] 
3,Bcen2424_R0046,42.5252059,1.030856733,0.356792677,0.000132642,0.261701763,1.030856733,signal recognition particle sRNA small type,ffs,1,K01983,K01983 SRP RNA 
4,Bcen2424_4806,1215.510957,-0.032640331,0.062804984,0.00027638,0.318190417,0.032640331,entericidin A/B family lipoprotein,,2,K16348,K16348 entericidin B 
5,Bcen2424_3181,572.1342903,-1.188057364,0.46892654,0.000310834,0.318190417,1.188057364,AraC family transcriptional regulator,,2,NA,no KO assigned 
6,Bcen2424_3188,1642.958721,-1.448977316,0.582589371,0.000322545,0.318190417,1.448977316,SRPBCC family protein,,2,NA,no KO assigned 
7,Bcen2424_0710,287.6482462,-0.478826626,0.198571984,0.00046802,0.334542055,0.478826626,membrane integrity-associated transporter subunit PqiC,,1,K09857,K09857 uncharacterized protein 
8,Bcen2424_3180,385.3546987,-0.010892581,0.037802768,0.000480184,0.334542055,0.010892581,LuxR family transcriptional regulator,,2,K20540,"K20540 LuxR family transcriptional regulator, quorum-sensing system regulator CepR2 "
9,Bcen2424_0320,83.21510899,1.381105438,0.588517044,0.00050868,0.334542055,1.381105438,hypothetical protein,,1,NA,no KO assigned 
10,Bcen2424_0985,919.312319,0.372850681,0.156608053,0.000570351,0.337590868,0.372850681,cell division topological specificity factor MinE,minE,1,K03608,K03608 cell division topological specificity factor 
11,Bcen2424_3103,288.0528738,-0.472099295,0.209815299,0.000677744,0.364688066,0.472099295,AraC family transcriptional regulator,,1,NA,no KO assigned 
12,Bcen2424_3189,280.0768378,-0.910200169,0.430183334,0.000837321,0.413008743,0.910200169,LysR family transcriptional regulator,,2,NA,no KO assigned 
13,Bcen2424_0575,85.40935858,-0.46655134,0.219170074,0.000909806,0.414241514,0.46655134,dephospho-CoA kinase,,1,K00859,K00859 dephospho-CoA kinase [EC:2.7.1.24] 
14,Bcen2424_3060,619.7194038,-0.599804987,0.347574763,0.001781415,0.714101847,0.599804987,flagellar hook-length control protein FliK,,1,NA,no KO assigned 
15,Bcen2424_1902,156.8581483,-0.623317282,0.367451307,0.001852062,0.714101847,0.623317282,hypothetical protein,,1,NA,no KO assigned 
16,Bcen2424_0659,188.0142409,0.798579536,0.495985621,0.002094092,0.714101847,0.798579536,MurR/RpiR family transcriptional regulator,,1,K19337,"K19337 RpiR family transcriptional regulator, carbohydrate utilization regulator "
17,BCEN2424_RS36775,9.779770818,-0.009920948,0.037348602,0.002150409,0.714101847,0.009920948,hypothetical protein,,1,NA,NA
