,locusTag,baseMean,log2FoldChange,lfcSE,pvalue,padj,abs_log2,name,symbol,chromosome,KO_anno,KO_desc
160,Bcen2424_1847,49751.15333,2.721094486,0.915940403,9.43E-05,0.00336378,2.721094486,ATP-dependent chaperone ClpB,clpB,1,K03695,K03695 ATP-dependent Clp protease ATP-binding subunit ClpB 
312,Bcen2424_1263,6192.269683,2.652634796,1.149206516,0.0005043,0.009224957,2.652634796,Hsp20/alpha crystallin family protein,,1,K13993,K13993 HSP20 family protein 
408,Bcen2424_1262,7042.77441,2.399559694,1.1653128,0.000882786,0.012315531,2.399559694,Hsp20/alpha crystallin family protein,,1,K13993,K13993 HSP20 family protein 
17,Bcen2424_3188,1642.958721,-2.398816536,0.526910538,2.15E-07,7.21E-05,2.398816536,SRPBCC family protein,,2,NA,no KO assigned 
2,Bcen2424_3444,120.1033983,-2.356716886,0.374636146,1.54E-11,4.39E-08,2.356716886,DUF4160 domain-containing protein,,2,NA,no KO assigned 
161,Bcen2424_3182,2081.409938,-2.158024873,0.723658186,9.48E-05,0.00336378,2.158024873,aspartate aminotransferase family protein,,2,NA,no KO assigned 
179,Bcen2424_3183,1691.724961,-2.15641007,0.739740586,0.000120212,0.003842071,2.15641007,condensation protein,,2,NA,no KO assigned 
320,Bcen2424_0752,76799.5266,2.12420562,0.878276411,0.00052248,0.009308766,2.12420562,molecular chaperone DnaK,dnaK,1,K04043,K04043 molecular chaperone DnaK 
165,Bcen2424_3187,1866.290065,-2.121183305,0.717523609,0.000100176,0.003469423,2.121183305,non-ribosomal peptide synthetase,,2,NA,no KO assigned 
437,Bcen2424_3184,965.886284,-2.111524268,1.088009064,0.0010551,0.013720071,2.111524268,DUF3050 domain-containing protein,,2,NA,no KO assigned 
403,Bcen2424_3092,16987.4487,2.079384382,0.977119663,0.000868306,0.012262629,2.079384382,ATP-dependent protease ATPase subunit HslU,hslU,1,K03667,K03667 ATP-dependent HslUV protease ATP-binding subunit HslU 
483,Bcen2424_4132,4213.69858,2.031475904,1.101459927,0.001426504,0.016832006,2.031475904,sigma-70 family RNA polymerase sigma factor,,2,K03086,K03086 RNA polymerase primary sigma factor 
16,Bcen2424_3181,572.1342903,-1.978544758,0.427517661,1.66E-07,5.89E-05,1.978544758,AraC family transcriptional regulator,,2,NA,no KO assigned 
513,Bcen2424_3186,903.0536663,-1.951331364,1.152511636,0.001676129,0.018624022,1.951331364,hypothetical protein,,2,NA,no KO assigned 
93,BCEN2424_RS36775,9.779770818,-1.934822586,0.542916984,2.75E-05,NA,1.934822586,hypothetical protein,,1,NA,NA
594,Bcen2424_0190,1465.048378,1.928467188,1.333714557,0.002570414,0.024701156,1.928467188,hypothetical protein,,1,NA,no KO assigned 
21,Bcen2424_3178,2243.808415,-1.869351909,0.418119696,3.47E-07,9.21E-05,1.869351909,hypothetical protein,,2,K20277,K20277 mannose-binding lectin 
11,Bcen2424_0248,3303.776122,-1.869059829,0.386306906,6.05E-08,3.13E-05,1.869059829,aquaporin Z,aqpZ,1,K06188,K06188 aquaporin Z 
253,Bcen2424_0751,2517.078226,1.793441732,0.689038194,0.000308569,0.00696606,1.793441732,thioredoxin family protein,,1,NA,no KO assigned 
418,Bcen2424_1191,5161.506091,1.781311769,0.836163792,0.000931929,0.012714014,1.781311769,SDR family oxidoreductase,,1,NA,no KO assigned 
252,Bcen2424_2141,12476.78618,1.752353088,0.669818664,0.000305872,0.006932686,1.752353088,M3 family metallopeptidase,,1,K01414,K01414 oligopeptidase A [EC:3.4.24.70] 
508,Bcen2424_2915,18576.22583,1.729654932,0.946919435,0.001650379,0.018487203,1.729654932,DUF3567 domain-containing protein,,1,NA,no KO assigned 
31,Bcen2424_5092,570.9172729,-1.7228815,0.40611133,9.97E-07,0.000178091,1.7228815,efflux transporter outer membrane subunit,,2,NA,no KO assigned 
103,Bcen2424_2892,3701.408719,1.681412073,0.505938724,3.61E-05,0.002004817,1.681412073,D-amino acid aminotransferase,,1,K00824,K00824 D-alanine transaminase [EC:2.6.1.21] 
390,Bcen2424_1921,87273.49083,1.669379312,0.737876523,0.000799068,0.011686108,1.669379312,endopeptidase La,lon,1,K01338,K01338 ATP-dependent Lon protease [EC:3.4.21.53] 
20,Bcen2424_2773,1747.083796,-1.630278099,0.360753355,2.94E-07,8.36E-05,1.630278099,TIGR01841 family phasin,phaP,1,NA,no KO assigned 
29,Bcen2424_5091,200.2544262,-1.627900636,0.379596968,8.40E-07,0.000161728,1.627900636,HlyD family efflux transporter periplasmic adaptor subunit,,2,K03543,"K03543 membrane fusion protein, multidrug efflux system "
47,Bcen2424_3180,385.3546987,-1.602092613,0.413752677,4.77E-06,0.000566907,1.602092613,LuxR family transcriptional regulator,,2,K20540,"K20540 LuxR family transcriptional regulator, quorum-sensing system regulator CepR2 "
